period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
1/1/19,1/31/19,30,national,11,1400,f, National,National,U.S.,US,Condo/Co-op,3,238517,-0.017796785,0.009575015,270522,0.122985395,0.060366224,207,-0.003834299,0.027201906,232,0.100240468,0.063569158,38191,-0.193204353,-0.095900599,36214,0.063292664,-0.082222297,67614,0.821662943,0.051926565,168011,0.052540529,0.183392919,4.399223184,1.027121096,1.038264212,54,8,6,0.973135053,-0.003203778,-0.00464813,0.150297309,-0.0118972,-0.034097139,0.120053168,0.036931772,0.030400078,0.373197644,0.102469834,-0.06094128,,,9/11/22 14:57
7/1/18,7/31/18,30,national,11,1400,f, National,National,U.S.,US,All Residential,-1,286980,-0.016381344,0.055244255,291034,-0.027841655,0.056275734,154,-0.008242694,0.053863858,157,-0.009610306,0.059047254,623986,-0.069975453,0.050426241,541643,-0.033997029,0.064434025,721187,-0.082313594,0.043668709,1683449,0.013496807,-0.027180604,2.697891911,0.222200143,-0.215224821,33,1,-4,0.987610481,-0.001792033,0.000983627,0.278703055,-0.016893602,0.005521082,0.159808074,0.010220858,0.024631887,0.374515488,-0.038937471,0.004939796,,,9/11/22 14:57
11/1/14,11/30/14,30,national,11,1400,f, National,National,U.S.,US,Condo/Co-op,3,190806,-0.005730566,0.060862241,193331,-0.031340548,0.075662601,165,-1.57E-05,0.067359588,165,-0.031298301,0.076939178,43150,-0.256298337,-0.0404981,34679,-0.170403736,0.024931253,48382,-0.275964053,-0.008574609,210355,-0.048459129,0.011335034,4.87495757,1.064806938,0.249852242,58,0,-1,0.968624082,-0.001284081,-0.003890966,0.150884903,-0.00103715,-0.035850837,0.083380895,-0.027709082,0.016882113,0.249311154,-0.022136872,-0.011184036,,,9/11/22 14:57
9/1/20,9/30/20,30,national,11,1400,f, National,National,U.S.,US,Single Units Only,-2,330546,0.010738338,0.135754106,337698,0.011308231,0.110452617,175,0.022070641,0.110863958,184,0.01891378,0.113448293,662001,-0.00622481,0.252928761,585377,-0.03668251,0.342314708,691065,-0.02195264,0.125488183,1134563,-0.022857175,-0.310968294,1.713838445,-0.029171976,-1.402589234,30,-1,-12,0.994412982,0.001757741,0.011658995,0.340490192,0.017203153,0.115249006,0.115764267,-0.021181377,-0.088028831,0.461922253,-0.014367756,0.114965485,,,9/11/22 14:57
12/1/18,12/31/18,30,national,11,1400,f, National,National,U.S.,US,Single Units Only,-2,276439,-0.006036166,0.022410838,269870,-0.043095216,0.029961036,150,-0.013003644,0.028854998,149,-0.038918269,0.034157671,437370,-0.072745659,-0.108052395,286528,-0.203255665,-0.052549387,312879,-0.313901536,-0.026057872,1389454,-0.107129102,0.086364114,3.176838447,-0.122336434,0.568529311,52,5,1,0.977693008,-0.001529038,-0.002450298,0.190347951,-0.013599564,-0.021327509,0.098726474,-0.048947353,0.020203094,0.271509358,-0.016703725,-0.037717162,,,9/11/22 14:57
12/1/20,12/31/20,30,national,11,1400,f, National,National,U.S.,US,Single Units Only,-2,332188,-0.0031088,0.127486172,325388,-0.014541409,0.150159194,179,0.005826438,0.130247803,183,0.002526424,0.16646891,626257,0.07536081,0.233706206,426854,-0.143414818,0.354014523,389880,-0.200324565,0.21923401,817230,-0.162823321,-0.354446822,1.304942919,-0.371267741,-1.188912325,31,3,-20,0.993976423,-0.001569712,0.014149339,0.335420708,-0.015054901,0.136537477,0.082136219,-0.039480827,-0.015860559,0.391564013,-0.038407184,0.12223573,,,9/11/22 14:57
12/1/14,12/31/14,30,national,11,1400,f, National,National,U.S.,US,Single Family Residential,6,227290,0.011756338,0.051446239,218641,-0.036229121,0.083088358,115,-0.005395868,0.039994158,113,-0.031432036,0.06499423,348355,0.168351756,0.089324388,185557,-0.128711799,0.06126824,251218,-0.179570504,0.060606256,1373698,-0.091139616,0.014857911,3.943383529,-1.125886898,-0.289350731,70,4,-1,0.969827767,-0.0009474,-0.001010445,0.171588603,-0.006077108,-0.019603442,0.074565774,-0.015139191,-0.018775051,0.228036408,-0.028292621,0.011054791,,,9/11/22 14:57
3/1/14,3/31/14,30,national,11,1400,f, National,National,U.S.,US,Condo/Co-op,3,184568,0.058277691,0.132820122,203098,0.02430068,0.115157096,156,0.03743554,0.126911902,172,0.008245284,0.114607948,48228,0.255480804,-0.059779831,41870,0.338653566,0.068515344,78535,0.254655954,0.124365936,215303,0.047702225,0.033756676,4.464267633,-0.885346201,0.403936448,63,-8,-5,0.970419995,0.001426974,-0.001132335,0.177099647,0.006372297,-0.039493808,0.061812056,0.001908676,0.015702301,0.372965176,0.005626132,-0.014391092,,,9/11/22 14:57
6/1/19,6/30/19,30,national,11,1400,f, National,National,U.S.,US,Single Units Only,-2,301676,0.017259868,0.033398558,306911,-0.031802267,0.025840292,159,0.004746402,0.025919755,162,-0.01824916,0.022524353,619948,-0.033229621,-0.05939912,531095,-0.061692702,-0.033450259,730828,-0.116474937,-0.04994633,1688227,0.024044226,0.040857665,2.723173712,0.15230459,0.262299689,36,-1,5,0.986990956,0.000627092,-0.002654385,0.262188998,0.004470174,-0.033273625,0.162284531,0.00884722,0.011776791,0.394718301,-0.032069678,-0.018481493,,,9/11/22 14:57
1/1/19,1/31/19,30,national,11,1400,f, National,National,U.S.,US,Townhouse,13,246811,-0.020527051,0.02192653,262189,0.077473573,0.013174618,153,-0.007597088,0.022786232,161,0.074773241,0.022331086,31155,-0.246785023,-0.039640791,30692,0.039937609,-0.037304409,49832,0.715659379,0.079949835,112250,0.030163021,0.152227092,3.602908205,0.968602405,0.599953235,50,7,6,0.981589991,-0.001011401,-0.002335028,0.197526208,-0.014696373,-0.037278366,0.12941483,0.030537807,0.055097042,0.381998905,0.104736065,-0.064099355,,,9/11/22 14:57
